sinno_id,notes
6856001,"framför allt inom,  …, trä- och pappersindustrie kommer det att få stor betydelse."
7067001,stärke används i stora mängder i pappersindustrien
7217001,cool individual innovation story
7366001,"should this count as 161 if it has a longer lifespan vis a  vi other more conventional products, but not necessarily compared to its previous design?"
7368001,predecessor to  modern harvester
7374001,predecessor of modern harvester
7398001,"the previous paragraph notes that for future forestry intensification is needed and soil preparation is one step, the innovation is introduced in this context"
7415001,prime example of early bioresource vision
7428001,good example for innovation which could go either way
7429001,"mentions several times that it is env friendly, but not why"
7437001,"2,9 because it does not contribute to 1, or 3, question is if it is bv at all"
7440001,closed water system turning waste to feed
7441001,turns wetlands to forests
7446001,"turns wetlands to forests, aims to solve economic efficiency problem of small energiskogar, invovlement of Skogshögskolan"
7447001,innovation driven by cost increase to skotare
7448001,innovation driven by cost increase to skotare
7452001,"""[Mark som lämnas idag]. De strider mot våra natioanlekonomiska intressen som ju är att få så mycket produktiv mark som möjligt."""
7476001,includes this weird little charicature taking aim at the very innovation described
7480001,file maker error message
7508001,bv 3 bc small regional identity focus
7514001,perfect bv 2 example
7519001,bv 2 bc upgrading of bioresource
7522001,check if bv
7534001,good example of bv2
7544001,"good example for 9 eco-inno, but 2 because of process upgrading"
7740001,"driven by ""ont om trä. Framför allt ädelträ."""
7777001,"""Flear av deltagarna [av produktdemonstration vid Skogshögskolan] menade att skogsmaskineran måste utformaas annolrlunda än nu om de skall göras skonsamare för underlaget."""
7852001,anti bv3
7859001,not forest
7897001,"non pesticide solution to fighting weevil, but sustainability effects of root removal unsure"
7919001,"non pesticide solution to fighting weevil, but sustainability effects of root removal unsure"
7939001,"root cleaner, sustainability unsure"
7944001,good bv 2 example
8167001,"mentions biological risks of root removal
mentions barrier in development of innovation in unprofitability up to that point"
8238001,good example bv 2
8789001,not forest
8799001,not forest
8835001,"bv3 because it aims to leave ecologically valuable but economically unvaluable trees in the forest, explicitly mentions advantages for biodiv"
9014001,not forest
9048001,"good bv 2 example, good example of bv1"
9120001,reported to be more expensive than conventional fertilizers
9408001,economic crisis mentioned as driver of innovation
9412001,example of machine that aims at no bv and is not ei
9413001,"sawdust from framesaws, i.e., side product of other process; waste from process recycled into energy for process, articles describe entire group of product and process innovations at the factory"
9418001,cost increase in building sector as driver of improvements
9430001,both bv2 and bv3 due to high quality product with regional focus; direct consequence of energy crisis
9431001,"""vilket gör att ytorna för kalavverkningar kann minskas"".. ""skördare rationalisera skogsbruket"", ""är förmodligen första  i världen med ed komplett utrustning av detta slag"""
9433001,removal of small and dry wood from forest praised as env friendly
9462001,"kills leaf trees, anti bioecology vision"
9524001,intention to leave at least 25% of material for ecological reasons
9525001,intention to leave at least 25% of material for ecological reasons
9554001,not forest
9556001,not forest
9608001,not forest
9720001,not forest
9722001,not forest
9740001,not forest
9937001,bv2 because intent is stated to increase the raw material logisitc
10506001,not forest
10544001,not forest
10574001,not forest
10579001,not forest
13016001,image barely readable
13017001,not forest
6431001,"2 because of process optimization in massabruk ""stora miljöförbättringar har också uppnåts"" 11485-01-00; 211,212 and 501 on 11485-02"
