Collection,SINNO.ID,Name.Swe,Name.Eng,Descri.Swe,Industry,Product.code,Use.sectors,Use.sector.2,Use.sector.3,Use.sector.4,X,Notes,Innovation.type,Artifactual.complexity,Developmental.complexity,COM_Year,Commissioner,Firm.Novelty,Market.Novelty,Patent.Status,Literal.name.of.innovating.firm...SINNO.s.common.name...SINNO.ID,Location,Firm.only.produces.the.innovation,Corporate.group,Firm.founded.for.development.or.commercialization,Previously.developing.firms,Previously.developing.firm.2,Previously.developing.firm.3,Previously.developing.firm.4,Presentation.Year,Development.Year,Year.of.first.prototype,Use.sector.5,Use.sector.6,Use.sector.7,Use.sector.8,Use.sector.9,Origins,Origin.2,Origin.3,Origin.4,Origin.5,Additional.information.if.Origin...1a.New.scientific.discovery,Additional.information.if.Origin...1b.New.technologies.or.materials,Additional.info.if.Origin...2a.Official.regulation..legislation.and.standards.,Additional.information.if.Origin...5b.Solution.for.a.problem,Additional.information.if.Origin...7.Performance,Additional.information.if.Origin...20.Other,Science.spin.off,Research.insititutes.of.spin.off,Research.insititute.2.of.spin.off,Research.insititute.3.of.spin.off,Universities.of.spin.off,University.2.of.spin.off,University.3.of.spin.off,Developed.in.collaboration.with.other.actors,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID,Type,Country,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.1,Type.1,Country.1,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.2,Type.2,Country.2,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.3,Type.3,Country.3,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.4,Type.4,Country.4,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.5,Type.5,Country.5,Public.technology.program.involved,Public.technolgy.program.s.name,External.financing.received,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID,Type.of.funder,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.1,Type.of.funder.1,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.2,Type.of.funder.2,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.3,Type.of.funder.3,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.4,Type.of.funder.4,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.5,Type.of.funder.5,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.6,Type.of.funder.6,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.7,Type.of.funder.7,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.8,Type.of.funder.8,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.9,Type.of.funder.9,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.10,Type.of.funder.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.1,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.2,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.3,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.4,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.5,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.6,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.7,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.8,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.9,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.11,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.12,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.13,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.14,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.15,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.16,BIO.Name
SWINNO - updated,7591001,,,"Biologiskt reningsverk för mindre hushåll som är inbyggt i en vanlig oljetank av plast. I tanken finns en pump, en fläkt och två syresättare.",,29240,101,,,,15,,1,2,2,1970,,1,NA,NA,Flygts ; Flygts ; 6593002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Få rörliga delar; reningsgrad,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1970 ; 8 ; 9 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7607001,,,Metod för skogsrensning som eliminerar riskerna med rotvältor och träd som fastnat i spänt läge. Metoden innebär att rotstocken kapas med hjälp av en lämpligt placerad sprängladdning.,,24610,2012,,,,27,,1,NA,2,1970,,2,NA,NA,Nitro Nobel AB ; Nitro Nobel ; 9915002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1970 ; 21 ; 10 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7614001,,,Träbearbetningsverktyg som bygger på en helt ny skärprincip och består av en cylindrisk fräskropp försedd med skär.,Machinery and Equipment,28622,20101,,,,33,,1,2,2,1970,,1,NA,NA,Nordtool AB ; Nordtool ; 6616002,,NA,,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Längre hållbarhet; ger kontinuerlig bearbetning,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1970 ; 29 ; 8 ; ,5 ; Ny Teknik ;  ; 1970 ; 30 ; 10-11 ; ,1 ; Ny Teknik ;  ; 1970 ; 22 ; 9 ; ,,,,,,,,,,,,,,,NA
SWINNO - updated,9237001,,,Polyetenbelagt förpackningsmaterial som består av en polyesterfilm som beläggs med LD polyeten genom strängsprutning.,,25220,15860,,,,44,,1,3,2,1970,,2,NA,NA,Åkerlund & Rausing ; Åkerlund & Rausing ; 10015002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,,,,,,,,Förbättrad flexibilitet (vilket även medför minskad skaderisk),Anpassning till automatiska förpackningsmetoder (genom förbättrad flexibiliteT),NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Plastforum ;  ; 1970 ; 2 ; 41 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9979001,,,"Svaveldioxid-skrubber avsedd för rening av rök- och avloppsgaser från industriella processer. Svaveldioxidutsläppen beräknas öka i mycket snabb takt om inga åtgärder vidtas, varför intresset för metoder och utrustningar för att minska skadeverkningarna på alla håll är synnerligen stort. Bahco-skrubbern reducerar svavelutsläppet från rökgaser med 98 % och anses därför som en intressant lösning. Den är i första hand avsedd för att användas i olje- och koleldade kraft- och värmeverk, cellulosaindsutrins kemikalieåtervinning samt i järnverk och raffinaderier. ",,29240,40,21,27,11,74,,1,3,3,1970,,3,NA,NA,AB Bahco Ventilation ; Bahco Ventilation ; 9769002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Ger god rening.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1971 ; 10 ; 495-496 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10703001,SBS,,"Ett nytt system kallat SBS vilket är en förkortning för ""shared base station!"", dvs. en anläggning som delas av flera företag, har introducerats av Svenska Storno AB. De olika abonnenterna får hyra in sig på en basstation som är fast förbunden med respektive företag med kabel på upp till 10 km. Den fasta manöverapparaten inom respektive företag är en vanlig telefonapprat.  Varje ansluten bil får ett eget kodnummer som man skan slå från telefonaparaten. När man lyfter på luren kopplas automatiskt basstationen in och markerar samtidigt upptaget hos alla övriga abonnenter. Ingen annan högtalare än den i den inkopplade bilen kan ta emot meddelandet från abonnenten. Kontakten sker sekundsnabbt och räckvidden är upp till 30-40 km från basstationen. med samma diskretion kan man från bilen tala med det egna företaget genom att trycka in en anropsknapp på bilens mobilstation. För telekabeln betalar abonnenten en inträdesavgift som varierar efter antalet kilometer från basstationen och därefter en årlig licens av 20 kr per bil samt en midnre kvartalsavgift. ... En första installation har gjorts i Årsta i södra delen av Stor-Stockholm och nya stationer planeras för att täcka hela Stockholmsområdet. En station är även igång i Malmö och en planeras i Göteborg.",,32200,60,,,,79,,1,2,2,1970,,2,NA,NA,Svenska Storno AB ; Svenska Storno ; 9705002,,NA,,NA,,,NA,NA,NA,1989,NA,NA,NA,NA,NA,NA,5a,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Transport Teknik ;  ; 1970 ; 8 ; 500 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7175001,PELLoFREEZE,,"Maskin för lösfrysning av flytande livsmedel. Livsmedlet fryses i form av små briketter.  Frysaren tillverkar små individuellt frysta bitar, s k pellets av flytande och halvflytande produkter. Efter ett omfattande utvecklingsarbete har man sålunda lyckats lösa det gamla problemet att frysa vätskor kontinuerligt för vidare bulklagring och förpackning i konsumentkapslar, d v s lösfrysta produkter. Pellofreeze fungerar så att produkten pumpas från en bufferttank in i frysarenheten i vilken den formas och fryses. Frystiden är 2 1/2 - 3 1/2 minut. En propylenglykol-lösning användes som frysmedium. Efter formning och frysning lämnar produkten frysaren på ett utmatningsbord i form av individuellt frysta bitar. Alla delar i kontakt med produkten är utförda i rostfritt stål och även i övrigt är utförandet av hög sanitär standard.  PELLoFREEZE innebär erbjuder fundamentalt förbätttrad hygienisk säkerhet för många processerDen frysta produkten, som kan vara hackad spenat, flytande äggmassa, drycker, soppor osv fås i form av tabletter med en volym av ca 3 kubikcentimeter. ",,29230,15,,,,94,,1,1,2,1971,,1,NA,NA,Frigoscandia Contracting AB ; Frigoscandia Contracting ; 6177002,Helsingborg,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5b,7,20,5a,,,,,Problemet att frysa vätskor kontinuerligt för vidare bulklagring och förpackning i konsumentkapslar.,Kortare frystid; högre kapacitet,Förbättrad hygien.,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,4 ; Livsmedelsteknik ;  ; 1971 ; 1 ; 36 ; ,1 ; Livsmedelsteknik ;  ; 1977 ; 1 ; 24-25 ; ,1 ; Ny Teknik ;  ; 1971 ; 2 ; 5 ; ,,,,,,,,,,,,,,,NA
SWINNO - updated,7650001,,,"Ny typ av pallkrage där det traditionella träet i pallkragar är ersatt med wellpapp, vilket minskar vikten (och därmed transportkostnade). Genom att kragen är hopvikbar vinner man lagerutrymme. ",Chemical and Plastics,21211,60240,,,,114,,1,3,3,1971,,2,NA,NA,AB Johannesbergs Lådfabrik ; Johannesbergs Lådfabrik ; 6652002,Jonsered,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Lägre vikt; kräver mindre utrymme,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1971 ; 23 ; 4-5 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9415001,,,"Jordförbättrande produkt som är resultatet av en ny process som istället för att bränna barkavfall, vilket är ett miljöproblem, konverterar barkavfallet till denna produkt",Textile,24150,13,,,,136,,1,3,2,1971,,1,2,NA,Mo & Domsjö AB ; Mo och Domsjö ; 5906002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5b,,,,,,,bränd bark var ett allvarligt miljöproblem,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Svensk Trävaru och Pappersmassetidning ;  ; 1971 ; 17 ; 844 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9732001,,,Fordon för förflyttning av grensletrucklaster bestående av en dragbil och en bygeltrailer försedd med en lyftanordning. Grensletrucken är försedd med ny typ av hytt som sträcker sig över nästan hela ramen. I vardera änden finns identiska manöver- och kontrollutrustningar. Föraren förflyttar sig mellan de båda positionerna sittande i sin stol. Denna är svängbar och glider på en skena i golvet -förflyttningen går automatiskt med hjälp av en elmotor. ,,34200,-100,,,,145,,1,1,2,1971,,3,NA,NA,AB Bofors ; Bofors ; 9681002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,,,,,,,,Snabb lastning/lossning; lastkapacitet; ergonomiskt utformad,,NA,,,,,,NA,1,Linköpings Transportindustri AB ; Linköpings Transportindustri ; 13596002,17,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Transport Teknik ;  ; 1971 ; 2 ; 85-86 ; ,4 ; Verkstäderna ;  ; 1971 ; 12 ; 690 ; ,,,,,,,,,,,,,,,,NA
