sinno_id,name,description,info,year,use_sector,bioeconomy_vision,innovation_type,article_checked,notes
5874001,"BOOK-O""-MATIC",Tryckpress för framställning av färdig bok direkt från pappersrulle. Maskinen består av välkända komponenter som har sammanfogats till ett nytt system.  Istället för att använda ett visst antal ark för att åstadkomma ett visst antal sidor använder maskinen alltid 10 ark i varje bok och varierar istället antalet sidor i arken.,,1972,22222,,,,
5886001,Solna C96,Rulloffsetpress med hög tryckkvalitet på bestruket papper. ,,1977,22222,,,,
6038001,,Hörselskydd med inbyggd radio. ,,1976,-100,,,,
6194001,Dendro 4000,"Datoriserad kantautomat för sågverk, som har hög kapacitet. En elevator och en tävtransportör med en inbyggd vändare åstadkommer att den inkommande brädan trots maskines höga kapacitet passerar med måttlig hastighet på tvären under mätrampen. Detta ger ett jämnt flöde och noggrann mätning och optimering.",,1985,20101,,,,
6431001,Asea Master / ABB Master,"Integrerat styrsystem. Ett generellt mikrodatorbyggsystem med en stor mängd byggbitar i såväl maskin som programvara. Byggbitarna är uppdelade i ett antal delsystem som grovt kan sammanföras till två grupper, maskinvarudelsystem respektive programvarudelsystem. Maskinvarumässigt sett är systemet baserat på flera olika mikrodatorer och mirkoprocessorer, såväl 16/32 bit som 8-bit. Med Asea Master kan styrfunktionerna funktionellt distribueras för varje objekt och de kan även geografiskt distribueras och placeras nära objektet som skall styras och övervakas. ",,1983,02,2,601;207;203;212;211;501,1,"2 because of process optimization in massabruk ""stora miljöförbättringar har också uppnåts"" 11485-01-00; 211,212 and 501 on 11485-02"
7393001,RK 66 Snorre,"Liten skotare. Snorre väger 6 ton och lastar lika mycket. Den låga vikten och marktrycket minimerar skaderiskerna på underlaget. Marbrott, rot- och humusskador har varit huvudproblem som konstruktionen vill lösa. ",,1974,02,2;3,207;213,1,"2;3: ""vi vill att man se nya skotare … som ett positivit steg i utveckling av skogsvården…"", ""Markbrott, rot-, och humusskador har varit huvudproblem som konstruktionen vill lösa"""
7394001,,"Konsåddpistol. Överst på ett ca 80 cm långt rör sitter ett plasthandtag och en liten behållare frö. När man trycker ned handtaget faller 5-6 frön mot marken. På röret sitter 100 koner och vid varje ""skott"" faller en kon till marken. Det betyder i klartext att fröna får egna drivhus. Konen skyddar fröna från skadedjur. Konerna har ett litet hål i toppen och genom detta kan plantan växa upp. Efter ca två år kommer konen att spricka av den växande plantan. ",,1975,02,2,109,1,"""Det betyder i klartext att fröna får egna drivhus"""
7464001,,"Mätnings- och sorteringssystem för sågtimmer. Noggrann mätning och ett nytt sätt att behandla mätdata ligger till grund för det nya systemet, som gör det möjligt att optimera sågningen bättre och effektivare än hittills. Hänsyn tas inte bara till stockens diameter utan också till dess ovalitet, krokighet, konicitett och kvalitet. Sorteringen baseras på den information som en ny vision-mätram av treriktningstyp ger om stocken. Med den nya utrustningen är det möjligt att klassificera stockarna i lämpliga klasser för sågningen på ett annat sätt än vad som tidigare varit möjligt. Den nya utrustningen ger också utökade rapporteringsmöjligheter. ",,1984,20,,,,
7549001,Caliwood,Infärgat trä. Metoden för att färga träet är patenterad i hela världen. Träet pressas i en quintus-press. ,,2004,45,,,,
7853001,Inka-reaktorn,Kompostreaktor som gör jordförbättringsmedel av slam och bark. ,,1977,90022,,,,
7991001,,Metod för att avhartsa sulfitmassa. Metoden för lagring av flis onödig; istället försvinner hartset när sulfitmassan bearbetas mekaniskt tillsammans med kemikalier. ,,1980,211,2,103;110,1,"""Massaindustrien har länge försökt lösa problemet på ett enklare sätt"", biorefinery; 110: replaces oil of 10m3 / 24h"
8425001,,"Instrument för tillståndskontroll av maskiner eller delar av maskiner. Haverier är i regel mycket kostsamma, med det här instrumentet kan företag kapa sina reparations- och stoppkostnader. Instrumentet fungerar som ett öra och lyssnar efter felljud. Från varje avlyssning, som kan ske kontinuerligt eller med vissa förutbestämda tidsintervall, samlar man upp data och bygger upp en karaktäristisk ljudbild.  Skillnaderna mellan dessa återkommande ljudbilder framträder tydligt och avikande ljud belyses. ",,1989,-100,,,,
9111001,Apid 55,Obemannad helikopter. ,,2006,02,9,999,1,unmanned helicopter without any clear relevance to bioeconomy visions
9529001,,Specialmärkt kartong som avser att förhindra förfalskningar. Metoden går ut på att man vid själva tillverkningen i basskartongen förses denna med en tydlig prägling. Vid efterföljande bestrykning får dessa intryckningar en vattenmärkning som endast syns i ultraviolett ljus.,,2001,211,,,2,corrupted file
9576001,Väv-Kalle,"Kasettvävstol som består av en grundstomme med trampanordning. På stommen läggs en kassett som innehåler varpbom, träckbom, lättmetallskaft med stålsolv, skedlag, bröstbom och tygbom. Om man har tre kasetter innebär det att man kan göra undervisning i tre pass om dagen på samma yta som man tidigare körde ett. ",,1979,172,,,,
10828001,,Spåntork med rökgaskondensor som återvinner energin annars förlorad i uppvärmning av fukt. ,,2003,20,2;3,203;211,1,2 and 3 as recycling of waste energy
10855001,,Trimsats för hyvlar som gör det möjligt för en hyvel att hyvla olika profiler. ,,2008,20,2,999,1,"""För ett hyvleri med normalt sortiment betyder det att hyveln kan bestyckas så att den kan köras med vanliga profiler under flera dager utan ompostning, något som ger en kräftigt ökad kapacitet."""
10857001,,NIR (närainfraröd spektroskopi) vid tillverkning av bl.a pellets sänker energikraven up till 80%.,,2008,20101,2,203;207;103;601;602;162,1,Miljövänliga och energisnälla produktionsprocess för pelletsmaterial
10867001,,"rundkutter med en helt ny typ av hydraulisk fastspänning (NTT, 2009, nr. 14-15, p. 10).",,2009,20,2,203,1,"""… kuttern är skonsam mot hårda kvistar…"""
10872001,Mountin,"Nya ""osynliga""(NTT, 2010, nr. 3, p. 7) fästen för beslag i trappor. ",,2010,36,9,999,1,"good example bv 3: ""Monteringsmetoden utan synliga hattpluggar gör att arkitekterna kann rita mer estetiskt tilltalande trappor.."""
10874001,,"Uppgradering av ett gammalt system som förhindrade att lim och härdare kom i kontakt innan lamellen. Det nya systemet är enklare att montera, underhålla, ökar kvalitet, produktivitet och minskar limförbrukning.",,2010,20,2;3,103;602;601,1,"2 because of process optimization, 3 because of ethic considerations behind company strategy ""Att bidra till minska limförbrukningen kan tyckas vara som att såga av den gren man sitter på. Men det ligger helt i linje med Akzo Nobels miljösatsning och ambitionen att stärka kundernas konkurrenskraft."""
10878001,Refloor,"Upplyft golv utan reglar, med plats för rör, kablar och/eller ventilationsutrymme. Golvet är både miljömärkt och skall gå snabbt att lägga.",,2010,45,2,207,1,"""Vi vill göra byggnadet så effektivt och resurssnålt som mjöligt."""
10881001,CombiCut,Ny reducerskiva som kombinerar steg- och spiralhuggning. Skivan går lättare och ökar därmed andelen acceptflis samt sänkt elförbrukningen.,,2008,20,2,203;103,1,"""Den utvecklade
konstruktionen ger bättre ytor
med bibehållen klingtjocklek.
Combi Cut med fyra stål ger bästa
fliskvalitet i matningshastigheter
upp till 100 meter per minut.
I femstålsutförande klarar skivan
matningshastigheter upp till
150 meter per minut."" 11995-08-00"
10882001,Sioo,"Vattenburet träskydd med kisel, kalium och naturliga växtämnen.",,2007,-101,2;3;0,207,1,"""Kisel är inte giftig utan verkansprincip är mekanisk"", ""Överblivit medel kann hällas i komposten"", ""Underhållet är enkelt och träet håller sig fräscht utan regelbunden oljning"""
10897001,Morumpressen,"Småskalig pellets-press med 24 kolvar, vilket fördelar trycket mer och då håller längre. ""Drar inte mer än 4 kilowatt."" (NTT, 2008, nr. 7, p. 17)",,2008,20,2,161,1,"""Träindustriens intresse för att paletera sina biprodukter har ökat lavinartat de senaste åren"""
10909001,Proficura 2D,"En 2D sensor som ""ger väsentligt mer mätdata om virkesstyckets dimensioner och profil"" (NTT, 2010, nr. 12, p. 22).",,2011,20,2,601;602,1,"""Mätaren skapar nya mjöligheter till kostnadsoptimering för trävaruindistrin"" 11894-01-00, ""Mätaren skapar nya mjöligheter till kostnadsoptimering för trävaruindistrin"", ""Vi hoppas mycket på Boardprofiler
L i framtiden. Dels inom
sågverksindustrin, dels och nästan
mer för förädlingsindustrin."" 12012-00-00, "
10922001,ETP Cubit,"[E]tt nytt komplett koncept för justerbara system. Profilering av not och spont i golvindustrin kan nu göras effektivt med extrem precision och repeternoggrannhet.  (NTT, 2011, nr. 10-11, p.18)",,2011,20,2,602;,1,"""ETP Cubit-Mini sparar
tid och pengar genom att det
inte behövs några svårhanterliga
shims."" 11995-02-00,"
10924001,Alentpumpen,Styrningsmodul for en trätorkmetod som låter fläktarna stå still ger bättre (rakare med mindre spänning) virke på samma tid av mindre energi. ,,2009,02,2,203;103,1,"""Det blev mindre spänningar i virke och det gick att göra ganska stora besparingar på elförbrukningen …"" 11910-00-00,"
10925001,High Impact Soot System (HISS),"Sotteknik för pappersbruk som ska spara stora mängder energi på sotningen av sodapannan, som sparar på ångan som behövs till annat på bruket. ",,2011,21,2,203;206,1,"""Traditionellt rengörs sodapannor under drift med en teknologi som är mycket energikrävande. Den nya tekniken innebär att energiförbrukningen i form av ånga halveras. Soot Techs HISS-teknik gör att sotblåsarna kan löras oftare, vilekt i sin tur ölar sotningseffekten."" 14395-00-00"
10927001,Undergolvet Tempo,Spårad undergolvsskiva för värmesystem,,2010,-101,2,999,1,
10928001,,"Containergolv av komposit (trä, återvinnings plast och en kemisk reagens) som skall ersätta tropiskt hårdträ.",,2010,28210,2;9;0,102;207,1,"possibly bv2 or bv9, edge case as uses fossil input to substitue bioinput"
10937001,Paint Cutter,"En ny kutter ""som ger en yta som efter perfekt finsågning"" (NTT, 2010, nr. 17, p. 11).",,2010,20,2,999,1,"""En panel som kan ha blivit randig
av dåliga sågblad och behöver
snyggas till, eller kanske fi nns det
behov av att återställa hyvlat virke
till sågat för en klara en snabb
leverans."" 12628-00-00"
10950001,Hoppolek,"Träningsmaskin för svårt handikappade som ""stärker skelettet genom stötande belastning underifrån"".",,2010,73,9,501,1,not forest
