SINNO ID,sni,Innovation name in Swedish,des,Additional Info
5934001,21230,,Miljövänligt vaxbaserat engångskarbonpapper avsett för OCR-läsning som medger optisk läsning med stor precision,
6000001,21219,Ensocoat/Ansogloss/Tambrite,Ny typ av kartongpapper i tre varianter avsedd för förpackingsindustrin. Kartongpapperet skapar nya möjligheter för digitaltryck för kartong genom att den är specialanpassad för digitaltryck i Xerox Igen3.,
6000001,25220,Ensocoat/Ansogloss/Tambrite,Ny typ av kartongpapper i tre varianter avsedd för förpackingsindustrin. Kartongpapperet skapar nya möjligheter för digitaltryck för kartong genom att den är specialanpassad för digitaltryck i Xerox Igen3.,
6002001,341,EHC,"Elektrohydrauliskt styrsystem. Används för att styra hydrauliska riktningsventiler inom områdena kranar, skogs- och entreprenadmaskiner. Med systemet elimineras många av de brister som de rend hydrauliska systemen har. Prestationshöjning på 40 % har noterats. Det som väsentligt bidragit till att systemet har kunnat utvecklas är de unom Saab-Scania framtagna nya styrventlierna och manöverdonen. ",
6031001,211,PM 5,"Kombinerad säck-pappers- och kartongmaskin, en rullmaskin och sex blandningspumpar. Den mekaniska och elektriska konstruktionen innehåller betydelsefulla nyheter. Maskinen kombineras med en fläkttork, så att pappersbanan torkas både i denna och i ett konventionellt torkparti med torkcylindrar. Reglersystemet utnyttjar en nya, av Asea patenterad etod för digital varvtalsmätning, som möjliggör snabb och noggrann varvtalsreglering. ",
6031001,212,PM 5,"Kombinerad säck-pappers- och kartongmaskin, en rullmaskin och sex blandningspumpar. Den mekaniska och elektriska konstruktionen innehåller betydelsefulla nyheter. Maskinen kombineras med en fläkttork, så att pappersbanan torkas både i denna och i ett konventionellt torkparti med torkcylindrar. Reglersystemet utnyttjar en nya, av Asea patenterad etod för digital varvtalsmätning, som möjliggör snabb och noggrann varvtalsreglering. ",
6041001,21,,"Bandspänningsmätare med PRESDUKTOR-kraftgivare som ger möjlighet till direkt reglering av bandspänningen. I t.ex. en omrullningsmaskin för papper är detta en stor fördel, eftersom inverkan av tröghetsmoment och mekaniska förluster i ledvalsar och avrullningsställ bortfaller. ",
6041001,25,,"Bandspänningsmätare med PRESDUKTOR-kraftgivare som ger möjlighet till direkt reglering av bandspänningen. I t.ex. en omrullningsmaskin för papper är detta en stor fördel, eftersom inverkan av tröghetsmoment och mekaniska förluster i ledvalsar och avrullningsställ bortfaller. ",
6110001,211,,Teknik för ångtorkning av pappersmassa. Tekniken kan minska nettoförbrukningen av värme med 75 % och produktionskonstnaden för salumassa med 50 kronor per ton.,
6174001,21220,Spray Applicator,Anläggning för klistringsstyrning för tissuetillverkare. Systemet löser tissuetillverkarens svåra roblem att styra pappersbanans klistring till Yankee-cylindern och eliminerar nackdelar hos traditionella metoder såsom hög kemikalieförbrukning och svår reglering av mälddosering samt ojämn spridning och driftstörningar. Systemet består av en under Yankee-cylindern placerad behållare försedd ed en smal utblåsningsslits. Till behållaren blåses en spraydimma av mycket små vattenlösta kemikaliedroppar bildade i en dyskammare placerad utaför pappersmaskinen. ,Svårigheter för papper- och tissuetillverkare att styra pappersbanans klistring till en s.k. Yankee-cylinder
6204001,21,LEECH2-C,"Tjockleksmätare för tunna material på löpande bana. Mätaren fungerar enligt en dubbelsidig beriöringslös metod med båda huvudena rörliga och följande pappersbanans rörelser. Den undre mätspetsen är utrustad med en givare som mäter avståndet till referensplattan, monterad i den övre mätspetsen. Positionenringen av mätspetsarna sker med luft.",
6252001,21211,Sym-Belt S,"Skopressmaskin för pappersindustrin som med hög kapacitet ger ett optimalt tryck över pappersbanan oavsett maskinens bredd. Maskinen innehåller nya tekniska detaljer, bl.a. en upp- och nedvänd trycksko som möjliggör pressning av papperets trycksida mot en slät vals och ger en förbättrad tryckbarhet. ",Energibesparande; högre kapacitet; effektivitet
6325001,21,Screen Master 2000,"Papperslös skrivare för processindustrin, som tack vare en helt ny tätningsteknik klarar av ansträngande miljöer. ",Ny tätningsteknikMiljötålighet
6325001,24,Screen Master 2000,"Papperslös skrivare för processindustrin, som tack vare en helt ny tätningsteknik klarar av ansträngande miljöer. ",Ny tätningsteknikMiljötålighet
6333001,21,Paperprobe,"Metod för att beröringsfritt mäta dragstyvheten i pappersmaskiner. Mätningen ger besked om papperets dragstyvhet och ytvikt under full produktion, så att man kan korrigera problem under tillverkningen. [par][par]Metoden är beröringsfri och oförstörande. Och den ger besked om hur dragstyvheten varierar mellan olika områden i papperet. Detta var inte möjligt tidigare.",
6339001,21,,"Valsnypsmätare. Mätaren är avsedd att mäta nypbredden mellan valsar och cylindrar, där en elelr bda kontaktytorna består av gummibeläggning. Den består av en mättunga, thock som ett papper, en display och en manöverknapp. ",
6523001,401,T-stolpen,400 kV-stolpe som minskar magnetfältet till mer än hälften. Ledningarna bildar en triangel vilket för att magnetfälten minimeras. Dessutom spar stolpen skog. Poängen med triangelkonstruktionen är att faserna kommer så nära varandra att deras magnetiska och elektriska fält balanserar ut varandra vid marken. ,Förekomsten av starka magnetfälten under ledningsgator. 
6854001,21,,"Fraktionator för bl a fraktionering av pappersmassa. Partiklar i en vätskepelare, som rör sig, samlas med de största först  främst i pelaren. Vätskepelaren i fraktionatorn är en spiralslinga runt en rotor, och det finns en mängd parallella spiralformade rör runt denna. Suspensionerna förs in i rotorns centrum, rinner genom rören och fördelas i en uppsamlare efter olika storlek. Uppsamlaren kan f ö inställas för godtyckliga gränser mellan fraktionerna. ",Hög precision
6854001,24,,"Fraktionator för bl a fraktionering av pappersmassa. Partiklar i en vätskepelare, som rör sig, samlas med de största först  främst i pelaren. Vätskepelaren i fraktionatorn är en spiralslinga runt en rotor, och det finns en mängd parallella spiralformade rör runt denna. Suspensionerna förs in i rotorns centrum, rinner genom rören och fördelas i en uppsamlare efter olika storlek. Uppsamlaren kan f ö inställas för godtyckliga gränser mellan fraktionerna. ",Hög precision
